id,code,first_name,second_name,web_name,team_code,player_type,status,in_dreamteam,form,total_points,points_per_game,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,now_cost
87,424044,Hamed,Traorè,Hamed Traorè,BOU,MID,a,False,0.0,14,2.0,425,0,0,2,8,0,0,0,0,0,0,0,50
88,229600,Mark,Travers,Travers,BOU,GKP,u,False,0.0,28,2.3,1035,0,0,2,32,0,0,0,0,0,36,1,40
89,477580,Illia,Zabarnyi,Zabarnyi,BOU,DEF,a,False,0.0,7,1.4,297,0,0,0,5,0,0,0,0,0,0,0,45
595,544877,Milos,Kerkez,Kerkez,BOU,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
607,215531,Ionuț,Radu,Radu,BOU,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
619,474772,Ben,Greenwood,Greenwood,BOU,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
90,191866,Kristoffer,Ajer,Ajer,BRE,DEF,a,False,0.0,29,3.2,763,0,0,4,14,0,0,0,0,0,0,0,45
91,235448,Ellery,Balcombe,Balcombe,BRE,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
92,432160,Shandon,Baptiste,Baptiste,BRE,MID,a,False,0.0,29,1.3,600,0,2,1,6,0,0,0,1,1,0,0,45
93,228044,Mads,Bech Sørensen,Bech,BRE,DEF,a,False,0.0,4,1.0,18,0,0,0,0,0,0,0,0,0,0,0,40
94,481405,Mads,Bidstrup,Bidstrup,BRE,MID,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
95,174932,Sergi,Canós Tenés,Canós,BRE,MID,a,False,0.0,5,1.0,73,0,0,0,2,0,0,0,0,0,0,0,50
96,432830,Nathan,Collins,Collins,BRE,DEF,a,False,0.0,49,1.9,1811,0,0,4,37,0,0,0,2,1,0,6,45
97,503300,Matthew,Cox,Cox,BRE,GKP,u,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
98,440089,Mikkel,Damsgaard,Damsgaard,BRE,MID,a,False,0.0,33,1.3,970,0,0,3,14,0,0,0,4,0,0,0,50
99,183656,Josh,Dasilva,Dasilva,BRE,MID,d,False,0.0,81,2.2,1371,4,2,5,17,0,0,0,1,0,0,3,50
100,434662,Halil,Dervişoğlu,Dervişoğlu,BRE,FWD,u,False,0.0,4,4.0,6,0,1,0,0,0,0,0,0,0,0,0,45
101,118342,Mark,Flekken,Flekken,BRE,GKP,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,45
102,213687,Charlie,Goode,Goode,BRE,DEF,a,False,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40
103,194010,Rico,Henry,Henry,BRE,DEF,d,False,0.0,112,3.0,3240,0,3,11,46,0,0,0,4,0,0,4,45
104,472713,Aaron,Hickey,Hickey,BRE,DEF,a,False,0.0,63,2.4,1918,0,3,5,30,0,0,0,7,0,0,2,45
105,204580,Vitaly,Janelt,Janelt,BRE,MID,a,False,0.0,85,2.4,2201,3,1,8,28,0,0,0,3,0,0,5,55
106,207283,Mathias,Jensen,Jensen,BRE,MID,a,False,0.0,132,3.6,2805,5,7,10,40,0,0,0,5,0,0,11,55
107,249231,Keane,Lewis-Potter,Lewis-Potter,BRE,MID,a,False,0.0,14,1.4,313,0,1,0,4,0,0,0,0,0,0,0,50
